img_id;Belly;Throat;Birds
IMG1;341.94304 152.07616000000004 172.84662469284982 137.92829510214457 162.43877004177102 262.3238081524598 331.5351853489211 276.47167305031525;473.0027064059665 161.89981006364093 332.5752841821373 153.2730116220228 325.5086891995585 268.3033701054256 465.9361114233877 276.9301685470437;471.4597827001515 263.10481718721377 469.47475253020485 142.99172586392223 160.4998980743321 148.09795034863703 162.4849282442787 268.21104167192857
IMG2;387.00032 105.00032000000004 175.00032 105.00032000000003 175.00032000000002 249.00032000000004 387.00032 249.00032000000004;506 114.00000000000006 353.00032 114.00000000000006 353.00032 246.00000000000006 506 246.00000000000006;563.6415873203692 111.72462397224585 175.1195783468516 98.09219624726497 169.97844889469175 244.61356305310807 558.5004578682094 258.245990778089
IMG3;381.0729919148365 68.16091894189337 48.570086653496666 50.663547155907544 37.31341473866018 264.5743082140142 369.81632 282.07168;595.463827047357 252.6715102636298 572.7201002838823 72.97448853053518 331.1060128058776 103.55487731387329 353.8497395693522 283.25189904696794;598.001790530069 90.51603542640726 56.295397125894866 44.091373659059 38.394198414460476 252.9715985744053 580.1005918186346 299.3962603417536
IMG4;394.2957036307692 324.3172253538462 386.11414843076915 177.04923175384613 145.6341484307692 190.40923175384614 153.8157036307692 337.6772253538462;539.9945254686389 195.07401254806734 361.12415384508427 181.82430304623557 352.47473413536284 298.59100782508995 531.3451057589175 311.84071732692166;535.4120297163769 314.79353032021965 526.3543901921317 165.3424781701739 141.76703531564505 188.65080270814272 150.8246748398902 338.1018548581885
IMG5;368.88257551016375 225.55922662820817 363.516055114475 16.055751330318706 10.980407282689132 25.08610150282335 16.346927678377863 234.5895768007128;617.8833623949865 131.76569665146806 563.9017094678437 -34.27627027322069 311.93625542209935 47.639837695414215 365.91790834924205 213.68180462010298;595.689681277074 222.0473604007476 593.0293130673142 11.844737776654132 11.200245020144807 19.208487747152596 13.860613229904619 229.41111037124608
IMG6;344.7028612489015 287.90659270306566 327.7564615890709 121.39228056984155 77.46832027817486 146.86446262093807 94.41471993800542 313.3787747541621;551.00032 124.00000000000004 327.00032 124.00000000000003 327.00032 277.00032 551.00032 277.00032000000004;557.0404834296534 266.1567331187033 539.9753628479019 93.37306983329297 76.17854332987326 139.18034408603356 93.24366391162472 311.9640073714439
IMG7;409.02887258854764 323.05366613294063 396.37074630824554 132.82526500556938 44.359982791138094 156.24866903051105 57.01810907144012 346.4770701578823;622.769035666368 251.5985826730178 573.2130701325524 88.85696588775178 350.2312609117688 156.75649319178095 399.78722644558445 319.49810997704697;611.1298565564226 280.4719323386072 582.457587748842 96.47073108146793 37.66595671956248 181.3637208134345 66.3382255271432 365.3649220705738
IMG8;372.24397668250424 234.29834158679347 365.78485751587806 94.03677058252144 116.63558458456053 105.51022573220484 123.09470375118671 245.77179673647692;489.00032 110.00000000000006 347.00032 110.00000000000003 347.00032 231.00032000000004 489.00032 231.00032000000004;488 98.00000000000004 129.00032 98.00000000000003 129.00032000000002 236 488 236.00000000000006
IMG9;430.1354189228176 62.21926412820109 186.2676870917884 53.50914486513442 179.8838291766694 232.24572734718777 423.7515610076987 240.95584661025444;618.9812134462223 116.2120613950423 426.9139810099204 74.68413085870469 394.14723794379654 226.23075442943517 586.2144703800985 267.7586849657728;616.9439771846463 77.78024260669625 184.43512143015448 46.890048215514454 171.61415864480912 226.40267522389675 604.123014399301 257.29286961507853
IMG10;460.18365041813297 78.90444748395673 212.48123529624894 33.15588085876459 185.47541362938767 179.37701394993388 433.1778287512717 225.12558057512604;584.5694417826455 194.2552524302451 559.7484457519498 50.82187760860583 407.3854039758745 77.18814319952146 432.2064000065702 220.62151802116074;586.5465078193994 100.07715470026778 209.95368266185466 44.04295991794754 188.56506101768275 187.79092457587709 565.1578861752275 243.82511935819733
IMG11;374.00231282582706 160.30043956954967 184.94290748505387 148.9568752491032 176.81219724192908 284.46871263451584 365.8716025827023 295.8122769549623;473.00032 171.00032000000004 346 171.00032000000004 346 279.00032 473.00032 279.00032000000004;472 157.00032000000004 180.00000000000003 157.00032000000002 180.00000000000006 290 472 290.00000000000006
IMG12;448.3897198887217 96.23621700416754 175.95603538947904 86.95014600523163 170.2380039785179 254.7050948473265 442.67168847776054 263.9911658462625;598.5767106848606 233.26173042604083 593.5410533301468 94.25642921176063 409.6980795581743 100.91639264409181 414.73373691288816 239.921693858372;600.3791447421934 105.68282232854088 171.25999881517063 82.33307013600691 162.0131909679375 252.26987517091163 591.1323368949603 275.6196273634456
IMG13;352.0875675675676 252.76572540540536 348.23081098378384 86.9251923027027 97.92433193513511 92.74627321081081 101.7810885189189 258.5868063135135;550 95.00032000000004 327.00032 95.00032000000003 327.00032 246.00000000000006 550 246.00000000000006;549.00032 87.00032000000004 100.00000000000001 87.00032000000002 100.00000000000003 255.00032000000002 549.00032 255.00032000000004
IMG14;440.1644247580788 186.5742391441267 429.21770293473867 55.61765580132545 214.40299881546918 73.5741170156598 225.34972063880926 204.53070035846105;568.9715250674334 81.66274333792892 414.12207271594417 58.08822939390613 397.15736713458483 169.5210833146888 552.006819486074 193.09559725871156;566.9631549058464 161.86777494655348 544.8595087540021 28.487439589101143 209.98183511725608 83.98300857520698 232.08548126910034 217.36334393265932
IMG15;448.2326280458516 77.25355053359759 154.81777856942105 45.50944959413545 135.81632000000002 221.14239999999998 429.2311694764305 252.8865009394621;572.156641275219 190.27860287564013 509.2151704319125 68.98178393647422 378.18107622351476 136.97597118909562 441.12254706682137 258.27279012826153;560.8229792652695 73.30625333646363 140.83383278697437 57.15347713429169 134.08777970556028 232.5579426143138 554.0769261838553 248.71071881648572
IMG16;362.5046064269019 194.84780994547998 361.8817873916089 54.7109101178465 143.39145483204254 55.68196012903535 144.01427386733553 195.81885995666883;488.7627579370409 125.50755036266193 355.7844385721677 53.63729375926785 298.9513795995858 158.7929593114868 431.92969896445896 230.66321591488088;483.5885757053994 59.79151168096129 144.78468228955444 46.76259294143824 139.35949191015666 187.83919797746265 478.1633853260016 200.8681167169857
IMG17;363.00032 212.00000000000006 161.00032000000002 212.00000000000003 161.00032000000004 338 363.00032 338;480.2158738049566 248.8326425709909 347.5055948032286 220.5506719158467 325.6198472164386 323.2473228607132 458.33012621816664 351.5292935158574;476 210.00000000000006 153.00032000000002 210.00000000000003 153.00032000000004 337.00032 476 337.0003200000001
IMG18;379.5315779887275 58.94267442563682 109.5771685632171 29.6221736616182 92.88398759135785 183.31660906572222 362.83839701686827 212.63710982974084;509.4206719088704 191.42920588564803 496.8988278514709 79.50530899578092 333.53820104706244 97.78180178066565 346.060045104462 209.70569867053274;502.01358971074785 59.36536057550968 102.30336895226812 51.29169158211725 99.12126196815098 208.83105641606312 498.8314827266307 216.90472540945558
IMG19;337.5931951432387 175.56890082119713 112.33537363403966 151.97423903392473 96.91901245046252 299.15396837782305 322.17683395966156 322.7486301650954;458.32758463357015 285.8578087172502 443.1078769595034 180.3179821862315 295.28139881840673 201.63577147720645 310.50110649247347 307.17559800822517;458.99784702549584 167.8504249291786 95.12031728045332 159.1866742209631 91.2977223796034 319.73566005665714 455.17525212464585 328.39941076487264
IMG20;449.96381337154116 151.38553365083195 209.73290487596714 147.97807918831785 207.4355124692765 309.9478637009834 447.6664209648505 313.3553181634975;591.8408513544106 261.54613208834354 559.4650571774388 134.33486427946377 406.46270988088077 173.27459493374113 438.83850405785256 300.4858627426209;586.4080988426978 179.45113112609414 212.63437390571517 138.73921497195823 195.6684614759505 294.50226630609643 569.4421864129331 335.21418246023234
IMG21;372.30293388392846 151.09085291223033 166.96950902738206 149.0784243028127 165.51778761936794 297.2014072748013 370.8512124759143 299.2138358842189;500 176.00000000000006 351.00032 176.00000000000006 351.00032 292 500 292.00000000000006;496 150.00000000000006 164.00000000000003 150.00000000000003 164.00000000000006 299.00032 496 299.00032000000004
IMG22;370 108.00000000000004 163.00032 108.00000000000003 163.00032000000002 235.00032000000002 370 235.00032000000004;499.00032 113.00032000000004 330 113.00032000000003 330 226.00000000000006 499.00032 226.00000000000006;496 105.00032000000004 164 105.00032000000003 164.00000000000003 234.00000000000003 496 234.00000000000006
IMG23;348.8661585582511 283.01404075541024 329.8472074564284 152.90443732913027 149.1830762564126 179.31326639833293 168.20202735823523 309.4228698246129;456.00328978626584 260.6297317097158 436.0519830085842 153.81821751986627 302.3944766538881 178.78408316317808 322.34578343156977 285.59559735302764;455.3661823350519 266.62200997627116 438.3512558050536 139.76396912866292 151.28421090228247 178.26704426342667 168.29913743228082 305.1250851110349
IMG24;383.00032 60.000000000000036 92 60.000000000000014 92.00000000000001 255.00032000000002 383.00032 255.00032000000004;515.6180216312804 209.2566618046379 487.96840531068653 46.81405993649635 308.8526839204854 77.30163472580861 336.5023002410792 239.74423659395018;504 50.00000000000004 84.00000000000003 50.000000000000014 84.00000000000003 256 504 256.00000000000006
IMG25;388.4061975974232 57.958272702926195 127.50005415660678 55.62912492153197 125.97257655918352 226.73389221860583 386.87872 229.06304000000003;559.6482530509558 122.09173208932074 383.2817254510659 44.237388932807974 316.10901665243637 196.4063870897439 492.47554425232624 274.2607302462567;559.0683187027767 56.81975514657043 135.36638102686032 27.230451001719764 122.79970027784812 207.178142824602 546.5016379537644 236.76744696945266
IMG26;367.8542114871934 89.10681287509621 139.70839679727214 73.18808364865174 130.55412306947912 204.38632239075014 358.6999377594004 220.30505161719458;442 98.00000000000004 332 98.00000000000003 332 223.00032000000004 442 223.00032000000004;449.09780189777837 105.29439211523541 141.51488201742558 61.36602776915241 122.79980059940941 192.40754215381537 430.38272047976216 236.33590649989833
IMG27;388 103.00032000000004 167.00032 103.00032000000003 167.00032 263.00032 388 263.00032;540 122.00000000000006 344 122.00000000000004 344 251.00032000000004 540 251.00032000000004;535.00032 101.00032000000004 168 101.00032000000002 168.00000000000006 262 535.00032 262.00000000000006
IMG28;336.99029136188994 158.23153900006463 169.5183539646282 134.54892329176226 149.5896645011179 275.4749204599062 317.06160189837965 299.1575361682086;459.00032 181.00032000000004 315.00032 181.00032000000004 315.00032 300 459.00032 300;468.56917448396973 181.60555941956704 177.16953678107902 133.02341182174166 153.35063613211278 275.89109805594586 444.75027383500344 324.47324565377124
IMG29;367.98848 52.36864000000004 148.50441523453074 38.17911061734463 138.14473523453077 198.4229506173446 357.6288 212.61248;532.414753360224 121.74244705552343 363.253723137803 49.002256434923154 303.6646274083845 187.57974348313783 472.8256576308055 260.3199341037381;528.8554596272153 66.9666324109615 148.7182922229863 44.31307476659051 139.64304909555025 196.59984888506818 519.7802164997793 219.2534065294392
